"PER_LEGAL_EMPLOYER_ORG.OrganizationCode","PER_LEGAL_EMPLOYER_ORG.EffectiveStartDate","PER_LEGAL_EMPLOYER_ORG.EffectiveEndDate","ClassificationName","OrganizationName","EffectiveStartDate","EffectiveEndDate","ViewInstanceName","GroupingKey","LogicalStartDate","LogicalEndDate","SetCode","CategoryCode","LegislationCode","Status","OrgUnitClassificationId","OrganizationId","ClassificationCode","SetId"
"LE_261","0001/01/01","4712/12/31","Legal Employer","Afterpay Limited","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Afterpay Limited,Legal Employer","0001/01/01","4712/12/31","","HCM_LEMP","AU","A","","","","#null"
"LE_145","0001/01/01","4712/12/31","Legal Employer","Touchcorp Limited ","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Touchcorp Limited ,Legal Employer","0001/01/01","4712/12/31","","HCM_LEMP","BM","A","","","","#null"
"LE_204","0001/01/01","4712/12/31","Legal Employer","Setelah Bayar Pte. Ltd.","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Setelah Bayar Pte. Ltd.,Legal Employer","0001/01/01","4712/12/31","","HCM_LEMP","SG","A","","","","#null"
"LE_231","0001/01/01","4712/12/31","Legal Employer","Afterpay NZ Limited","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Afterpay NZ Limited,Legal Employer","0001/01/01","4712/12/31","","HCM_LEMP","NZ","A","","","","#null"
"LE_232","0001/01/01","4712/12/31","Legal Employer","Afterpay NZ Warehouse Trust","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Afterpay NZ Warehouse Trust,Legal Employer","0001/01/01","4712/12/31","","HCM_LEMP","NZ","A","","","","#null"
"LE_336","0001/01/01","4712/12/31","Legal Employer","Clearpay Receivables Warehouse 2020-1 Limited","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Clearpay Receivables Warehouse 2020-1 Limited,Legal Employer","0001/01/01","4712/12/31","","HCM_LEMP_GB","GB","A","","","","#null"
"LE_334","0001/01/01","4712/12/31","Legal Employer","Clearpay (Europe) Limited","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Clearpay (Europe) Limited,Legal Employer","0001/01/01","4712/12/31","","HCM_LEMP_GB","GB","A","","","","#null"
"LE_337","0001/01/01","4712/12/31","Legal Employer","Clearpay Receivables Warehouse 2020-2 Limited","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Clearpay Receivables Warehouse 2020-2 Limited,Legal Employer","0001/01/01","4712/12/31","","HCM_LEMP_GB","GB","A","","","","#null"
"LE_339","0001/01/01","4712/12/31","Legal Employer","Clearpay Technology S.L.","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Clearpay Technology S.L.,Legal Employer","0001/01/01","4712/12/31","","HCM_LEMP","ES","A","","","","#null"
"LE_341","0001/01/01","4712/12/31","Legal Employer","Pagantis, S.A. (French Branch)","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Pagantis, S.A. (French Branch),Legal Employer","0001/01/01","4712/12/31","","HCM_LEMP_FR","FR","A","","","","#null"
"LE_144","0001/01/01","4712/12/31","Legal Employer","Afterpay US Services, LLC","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Afterpay US Services, LLC,Legal Employer","0001/01/01","4712/12/31","","HCM_LEMP_US","US","A","","","","#null"
"LE_153","0001/01/01","4712/12/31","Legal Employer","Afterpay Canada Limited","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Afterpay Canada Limited,Legal Employer","0001/01/01","4712/12/31","","HCM_LEMP_CA","CA","A","","","","#null"
"LE_147","0001/01/01","4712/12/31","Legal Employer","Lanai (US) 1, LLC","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Lanai (US) 1, LLC,Legal Employer","0001/01/01","4712/12/31","","HCM_LEMP_US","US","A","","","","#null"
"LE_272","0001/01/01","4712/12/31","Legal Employer","Lanai (AU) 2 Pty Ltd","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Lanai (AU) 2 Pty Ltd,Legal Employer","0001/01/01","4712/12/31","","HCM_LEMP","AU","A","","","","#null"
"LE_504","0001/01/01","4712/12/31","Legal Employer","Block of Mexico, SA","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Block of Mexico, SA,Legal Employer","0001/01/01","4712/12/31","","HCM_LEMP_MX","MX","A","","","","#null"
"LE_327","0001/01/01","4712/12/31","Legal Employer","GoParrot SRL","0001/01/01","4712/12/31","OrgUnitClassificationMigration","GoParrot SRL,Legal Employer","0001/01/01","4712/12/31","","HCM_LEMP","MD","A","","","","#null"
"LE_274","0001/01/01","4712/12/31","Legal Employer","Lanai (AU) 2 Pty Ltd.","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Lanai (AU) 2 Pty Ltd.,Legal Employer","0001/01/01","4712/12/31","","HCM_LEMP","AU","A","","","","#null"
"LE_273","0001/01/01","4712/12/31","Legal Employer","Lanai (AU) 1 Pty Ltd.","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Lanai (AU) 1 Pty Ltd.,Legal Employer","0001/01/01","4712/12/31","","HCM_LEMP","AU","A","","","","#null"
"LE_326","0001/01/01","4712/12/31","Legal Employer","Block XYZ Limited","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Block XYZ Limited,Legal Employer","0001/01/01","4712/12/31","","HCM_LEMP_IE","IE","A","","","","#null"
"LE_154","0001/01/01","4712/12/31","Legal Employer","Cash App Canada Payments ULC","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Cash App Canada Payments ULC,Legal Employer","0001/01/01","4712/12/31","","HCM_LEMP_CA","CA","A","","","","#null"
