"PAY_PAYROLL_STATUTORY_UNIT_ORG.OrganizationCode","PAY_PAYROLL_STATUTORY_UNIT_ORG.EffectiveStartDate","PAY_PAYROLL_STATUTORY_UNIT_ORG.EffectiveEndDate","ClassificationName","OrganizationName","EffectiveStartDate","EffectiveEndDate","ViewInstanceName","GroupingKey","LogicalStartDate","LogicalEndDate","SetCode","CategoryCode","LegislationCode","Status","OrgUnitClassificationId","OrganizationId","ClassificationCode","SetId"
"LE_270","0001/01/01","4712/12/31","Payroll Statutory Unit","Afterpay International Holdings Pty Ltd","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Afterpay International Holdings Pty Ltd,Payroll Statutory Unit","0001/01/01","4712/12/31","","HCM_PSU","AU","A","","","","#null"
"LE_264","0001/01/01","4712/12/31","Payroll Statutory Unit","Afterpay Corporate Services Pty Ltd","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Afterpay Corporate Services Pty Ltd,Payroll Statutory Unit","0001/01/01","4712/12/31","","HCM_PSU","AU","A","","","","#null"
"LE_266","0001/01/01","4712/12/31","Payroll Statutory Unit","Afterpay China Holdings Pty Ltd","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Afterpay China Holdings Pty Ltd,Payroll Statutory Unit","0001/01/01","4712/12/31","","HCM_PSU","AU","A","","","","#null"
"LE_268","0001/01/01","4712/12/31","Payroll Statutory Unit","Afterpay Australia Pty Ltd","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Afterpay Australia Pty Ltd,Payroll Statutory Unit","0001/01/01","4712/12/31","","HCM_PSU","AU","A","","","","#null"
"LE_203","0001/01/01","4712/12/31","Payroll Statutory Unit","Afterpay Asia Pte. Ltd.","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Afterpay Asia Pte. Ltd.,Payroll Statutory Unit","0001/01/01","4712/12/31","","HCM_PSU","SG","A","","","","#null"
"LE_333","0001/01/01","4712/12/31","Payroll Statutory Unit","Clearpay (International) Limited ","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Clearpay (International) Limited ,Payroll Statutory Unit","0001/01/01","4712/12/31","","HCM_PSU_GB","GB","A","","","","#null"
"LE_148","0001/01/01","4712/12/31","Payroll Statutory Unit","Lanai (US) 2, LLC","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Lanai (US) 2, LLC,Payroll Statutory Unit","0001/01/01","4712/12/31","","HCM_PSU_US","US","A","","","","#null"
"LE_261","0001/01/01","4712/12/31","Payroll Statutory Unit","Afterpay Limited","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Afterpay Limited,Payroll Statutory Unit","0001/01/01","4712/12/31","","HCM_PSU","AU","A","","","","#null"
"LE_145","0001/01/01","4712/12/31","Payroll Statutory Unit","Touchcorp Limited ","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Touchcorp Limited ,Payroll Statutory Unit","0001/01/01","4712/12/31","","HCM_PSU","BM","A","","","","#null"
"LE_204","0001/01/01","4712/12/31","Payroll Statutory Unit","Setelah Bayar Pte. Ltd.","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Setelah Bayar Pte. Ltd.,Payroll Statutory Unit","0001/01/01","4712/12/31","","HCM_PSU","SG","A","","","","#null"
"LE_231","0001/01/01","4712/12/31","Payroll Statutory Unit","Afterpay NZ Limited","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Afterpay NZ Limited,Payroll Statutory Unit","0001/01/01","4712/12/31","","HCM_PSU","NZ","A","","","","#null"
"LE_232","0001/01/01","4712/12/31","Payroll Statutory Unit","Afterpay NZ Warehouse Trust","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Afterpay NZ Warehouse Trust,Payroll Statutory Unit","0001/01/01","4712/12/31","","HCM_PSU","NZ","A","","","","#null"
"LE_336","0001/01/01","4712/12/31","Payroll Statutory Unit","Clearpay Receivables Warehouse 2020-1 Limited","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Clearpay Receivables Warehouse 2020-1 Limited,Payroll Statutory Unit","0001/01/01","4712/12/31","","HCM_PSU_GB","GB","A","","","","#null"
"LE_334","0001/01/01","4712/12/31","Payroll Statutory Unit","Clearpay (Europe) Limited","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Clearpay (Europe) Limited,Payroll Statutory Unit","0001/01/01","4712/12/31","","HCM_PSU_GB","GB","A","","","","#null"
"LE_337","0001/01/01","4712/12/31","Payroll Statutory Unit","Clearpay Receivables Warehouse 2020-2 Limited","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Clearpay Receivables Warehouse 2020-2 Limited,Payroll Statutory Unit","0001/01/01","4712/12/31","","HCM_PSU_GB","GB","A","","","","#null"
"LE_339","0001/01/01","4712/12/31","Payroll Statutory Unit","Clearpay Technology S.L.","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Clearpay Technology S.L.,Payroll Statutory Unit","0001/01/01","4712/12/31","","HCM_PSU","ES","A","","","","#null"
"LE_341","0001/01/01","4712/12/31","Payroll Statutory Unit","Pagantis, S.A. (French Branch)","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Pagantis, S.A. (French Branch),Payroll Statutory Unit","0001/01/01","4712/12/31","","HCM_PSU","FR","A","","","","#null"
"LE_144","0001/01/01","4712/12/31","Payroll Statutory Unit","Afterpay US Services, LLC","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Afterpay US Services, LLC,Payroll Statutory Unit","0001/01/01","4712/12/31","","HCM_PSU_US","US","A","","","","#null"
"LE_153","0001/01/01","4712/12/31","Payroll Statutory Unit","Afterpay Canada Limited","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Afterpay Canada Limited,Payroll Statutory Unit","0001/01/01","4712/12/31","","HCM_PSU_CA","CA","A","","","","#null"
"LE_147","0001/01/01","4712/12/31","Payroll Statutory Unit","Lanai (US) 1, LLC","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Lanai (US) 1, LLC,Payroll Statutory Unit","0001/01/01","4712/12/31","","HCM_PSU_US","US","A","","","","#null"
"LE_272","0001/01/01","4712/12/31","Payroll Statutory Unit","Lanai (AU) 2 Pty Ltd","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Lanai (AU) 2 Pty Ltd,Payroll Statutory Unit","0001/01/01","4712/12/31","","HCM_PSU","AU","A","","","","#null"
